year,quarter,market,occupancy_proportion,starting_occupancy_proportion,avg_occupancy_proportion,year_quarter
1.0,q3,chicago,0.8103448275862069,0.7413793103448276,0.8169582772543735,2024qq3
0.0,q2,dallasft worth,0.4655172413793102,0.29310344827586204,0.3849259757738889,2020qq2
0.0,q3,dallasft worth,0.5344827586206896,0.48275862068965525,0.5171120938281101,2020qq3
0.0,q4,dallasft worth,0.3275862068965517,0.6034482758620691,0.5625841184387619,2020qq4
0.25,q1,dallasft worth,0.5344827586206896,0.4482758620689656,0.4939434724091526,2021qq1
0.25,q2,dallasft worth,0.7241379310344827,0.5689655172413793,0.679676985195155,2021qq2
0.25,q3,dallasft worth,0.6551724137931034,0.7241379310344828,0.7187079407806187,2021qq3
0.25,q4,dallasft worth,0.31034482758620685,0.706896551724138,0.7079407806191116,2021qq4
0.5,q1,dallasft worth,0.7413793103448275,0.5172413793103449,0.6608344549125166,2022qq1
0.5,q2,dallasft worth,0.7413793103448275,0.7758620689655173,0.790809459719284,2022qq2
0.5,q3,dallasft worth,0.793103448275862,0.7931034482758622,0.8026492880923699,2022qq3
0.5,q4,dallasft worth,0.31034482758620685,0.8275862068965518,0.7862270076267388,2022qq4
0.75,q1,dallasft worth,0.7758620689655171,0.6034482758620691,0.7658142664872137,2023qq1
0.75,q2,dallasft worth,0.7758620689655171,0.8275862068965518,0.8304172274562583,2023qq2
0.75,q3,dallasft worth,0.8103448275862069,0.6379310344827587,0.8290713324360693,2023qq3
0.75,q4,dallasft worth,0.3448275862068965,0.8448275862068967,0.7954239569313593,2023qq4
1.0,q1,dallasft worth,0.8965517241379309,0.5862068965517242,0.8869448183041715,2024qq1
1.0,q2,dallasft worth,0.8793103448275861,0.8965517241379309,0.9071332436069988,2024qq2
1.0,q3,dallasft worth,0.8965517241379309,0.8448275862068967,0.9138627187079411,2024qq3
0.0,q2,houston,0.4137931034482758,0.3103448275862069,0.3849259757738889,2020qq2
0.0,q3,houston,0.43103448275862066,0.36206896551724144,0.3796385310517202,2020qq3
0.0,q4,houston,0.24137931034482757,0.5000000000000001,0.4939434724091526,2020qq4
0.25,q1,houston,0.4999999999999999,0.3965517241379311,0.46567967698519425,2021qq1
0.25,q2,houston,0.7068965517241378,0.5000000000000001,0.6541049798115742,2021qq2
0.25,q3,houston,0.6896551724137929,0.7241379310344828,0.7348586810228794,2021qq3
0.25,q4,houston,0.25862068965517243,0.7758620689655173,0.7429340511440107,2021qq4
0.5,q1,houston,0.793103448275862,0.5000000000000001,0.7294751009421259,2022qq1
0.5,q2,houston,0.8103448275862069,0.8620689655172414,0.8657950394154965,2022qq2
0.5,q3,houston,0.8620689655172412,0.8620689655172414,0.8698732025217814,2022qq3
0.5,q4,houston,0.3275862068965517,0.9137931034482758,0.8547554957379984,2022qq4
0.75,q1,houston,0.9137931034482758,0.6551724137931035,0.9313593539703906,2023qq1
0.75,q2,houston,0.9137931034482758,0.9482758620689654,0.9542395693135937,2023qq2
0.75,q3,houston,0.8965517241379309,0.7586206896551725,0.9461641991924624,2023qq3
0.75,q4,houston,0.36206896551724127,0.9482758620689654,0.8869448183041715,2023qq4
1.0,q1,houston,0.8793103448275861,0.6206896551724138,0.9084791386271875,2024qq1
1.0,q2,houston,0.9137931034482758,0.8620689655172414,0.9353970390309554,2024qq2
1.0,q3,houston,0.8965517241379309,0.8965517241379309,0.8990578734858675,2024qq3
0.0,q2,los angeles,0.37931034482758613,0.3103448275862069,0.3337819650067292,2020qq2
0.0,q3,los angeles,0.3448275862068965,0.4310344827586207,0.39338588732935936,2020qq3
0.0,q4,los angeles,0.20689655172413793,0.3965517241379311,0.38627187079407777,2020qq4
0.25,q1,los angeles,0.24137931034482757,0.29310344827586204,0.35935397039031,2021qq1
0.25,q2,los angeles,0.3448275862068965,0.29310344827586204,0.335127860026918,2021qq2
0.25,q3,los angeles,0.39655172413793094,0.3793103448275863,0.41184387617765855,2021qq3
0.25,q4,los angeles,0.17241379310344823,0.4655172413793104,0.47106325706594954,2021qq4
0.5,q1,los angeles,0.5344827586206896,0.3103448275862069,0.4831763122476438,2022qq1
0.5,q2,los angeles,0.5689655172413792,0.6034482758620691,0.6158431070947888,2022qq2
0.5,q3,los angeles,0.6206896551724137,0.6206896551724138,0.6433378196500671,2022qq3
0.5,q4,los angeles,0.293103448275862,0.6896551724137931,0.6593764019739797,2022qq4
0.75,q1,los angeles,0.6896551724137929,0.4655172413793104,0.7146702557200539,2023qq1
0.75,q2,los angeles,0.7068965517241378,0.7241379310344828,0.7550471063257066,2023qq2
0.75,q3,los angeles,0.6724137931034481,0.5862068965517242,0.737550471063257,2023qq3
0.75,q4,los angeles,0.293103448275862,0.7413793103448276,0.693135935397038,2023qq4
1.0,q1,los angeles,0.6724137931034481,0.4310344827586207,0.702557200538358,2024qq1
1.0,q2,los angeles,0.6724137931034481,0.6724137931034484,0.7308209959623146,2024qq2
1.0,q3,los angeles,0.6724137931034481,0.6379310344827587,0.7160161507402428,2024qq3
0.0,q2,manhattan,0.0,0.0,0.0,2020qq2
0.0,q3,manhattan,0.10344827586206898,0.06896551724137931,0.1034416458373382,2020qq3
0.0,q4,manhattan,0.017241379310344817,0.18965517241379312,0.15208613728129158,2020qq4
0.25,q1,manhattan,0.10344827586206898,0.10344827586206896,0.1359353970390309,2021qq1
0.25,q2,manhattan,0.22413793103448273,0.13793103448275865,0.2139973082099602,2021qq2
0.25,q3,manhattan,0.3448275862068965,0.2586206896551725,0.31493943472409086,2021qq3
0.25,q4,manhattan,0.034482758620689655,0.41379310344827586,0.429340511440108,2021qq4
0.5,q1,manhattan,0.4827586206896551,0.15517241379310348,0.4024226110363384,2022qq1
0.5,q2,manhattan,0.5689655172413792,0.5689655172413793,0.5608536819842339,2022qq2
0.5,q3,manhattan,0.6034482758620688,0.6379310344827587,0.5991357937238785,2022qq3
0.5,q4,manhattan,0.17241379310344823,0.6551724137931035,0.6666666666666659,2022qq4
0.75,q1,manhattan,0.6551724137931034,0.4310344827586207,0.7012113055181692,2023qq1
0.75,q2,manhattan,0.7068965517241378,0.6896551724137931,0.7362045760430682,2023qq2
0.75,q3,manhattan,0.6724137931034481,0.48275862068965525,0.6823687752355309,2023qq3
0.75,q4,manhattan,0.22413793103448273,0.7586206896551725,0.7106325706594875,2023qq4
1.0,q1,manhattan,0.7241379310344827,0.4482758620689656,0.7442799461641996,2024qq1
1.0,q2,manhattan,0.7586206896551724,0.706896551724138,0.7913862718707945,2024qq2
1.0,q3,manhattan,0.7586206896551724,0.6724137931034484,0.7388963660834459,2024qq3
0.0,q2,philadelphia,0.22413793103448273,0.20689655172413796,0.20995962314939373,2020qq2
0.0,q3,philadelphia,0.31034482758620685,0.3103448275862069,0.3296481445875797,2020qq3
0.0,q4,philadelphia,0.17241379310344823,0.3793103448275863,0.3310901749663533,2020qq4
0.25,q1,philadelphia,0.293103448275862,0.27586206896551724,0.31897711978465737,2021qq1
0.25,q2,philadelphia,0.36206896551724127,0.32758620689655177,0.38358008075370187,2021qq2
0.25,q3,philadelphia,0.44827586206896547,0.41379310344827586,0.467025572005383,2021qq3
0.25,q4,philadelphia,0.20689655172413793,0.5172413793103449,0.5100942126514133,2021qq4
0.5,q1,philadelphia,0.4999999999999999,0.3103448275862069,0.4804845222072678,2022qq1
0.5,q2,philadelphia,0.5172413793103448,0.5689655172413793,0.5633532013074402,2022qq2
0.5,q3,philadelphia,0.5344827586206896,0.5689655172413793,0.5669051498193661,2022qq3
0.5,q4,philadelphia,0.25862068965517243,0.5862068965517242,0.5835576491700306,2022qq4
0.75,q1,philadelphia,0.586206896551724,0.4655172413793104,0.6271870794078064,2023qq1
0.75,q2,philadelphia,0.5517241379310345,0.6379310344827587,0.6258411843876175,2023qq2
0.75,q3,philadelphia,0.586206896551724,0.4655172413793104,0.5989232839838498,2023qq3
0.75,q4,philadelphia,0.293103448275862,0.6551724137931035,0.6123822341857328,2023qq4
1.0,q1,philadelphia,0.5689655172413792,0.4655172413793104,0.6258411843876175,2024qq1
1.0,q2,philadelphia,0.5689655172413792,0.5862068965517242,0.63257065948856,2024qq2
1.0,q3,philadelphia,0.586206896551724,0.5517241379310346,0.6096904441453569,2024qq3
0.0,q2,san francisco,0.0689655172413793,0.05172413793103448,0.0672947510094213,2020qq2
0.0,q3,san francisco,0.08620689655172413,0.12068965517241378,0.12218804076139174,2020qq3
0.0,q4,san francisco,0.017241379310344817,0.13793103448275865,0.12516823687752376,2020qq4
0.25,q1,san francisco,0.08620689655172413,0.06896551724137931,0.11978465679677024,2021qq1
0.25,q2,san francisco,0.1896551724137931,0.13793103448275865,0.18573351278600178,2021qq2
0.25,q3,san francisco,0.24137931034482757,0.2241379310344828,0.253028263795424,2021qq3
0.25,q4,san francisco,0.034482758620689655,0.32758620689655177,0.325706594885598,2021qq4
0.5,q1,san francisco,0.39655172413793094,0.15517241379310348,0.325706594885598,2022qq1
0.5,q2,san francisco,0.44827586206896547,0.5000000000000001,0.503364737550471,2022qq2
0.5,q3,san francisco,0.5344827586206896,0.5172413793103449,0.5448041368562728,2022qq3
0.5,q4,san francisco,0.13793103448275862,0.6034482758620691,0.5791834903544183,2022qq4
0.75,q1,san francisco,0.5689655172413792,0.2586206896551725,0.6312247644683712,2023qq1
0.75,q2,san francisco,0.6551724137931034,0.6551724137931035,0.6729475100942126,2023qq2
0.75,q3,san francisco,0.6034482758620688,0.4655172413793104,0.6339165545087487,2023qq3
0.75,q4,san francisco,0.17241379310344823,0.6379310344827587,0.5948855989232833,2023qq4
1.0,q1,san francisco,0.6551724137931034,0.32758620689655177,0.6662180349932703,2024qq1
1.0,q2,san francisco,0.6206896551724137,0.6206896551724138,0.6689098250336478,2024qq2
1.0,q3,san francisco,0.5344827586206896,0.5689655172413793,0.6339165545087487,2024qq3
0.0,q2,south baysan jose,0.12068965517241377,0.13793103448275865,0.13728129205921974,2020qq2
0.0,q3,south baysan jose,0.15517241379310345,0.18965517241379312,0.18717554316477544,2020qq3
0.0,q4,south baysan jose,0.051724137931034475,0.2241379310344828,0.1911170928667571,2020qq4
0.25,q1,south baysan jose,0.15517241379310345,0.12068965517241378,0.1736204576043076,2021qq1
0.25,q2,south baysan jose,0.24137931034482757,0.18965517241379312,0.23418573351278565,2021qq2
0.25,q3,south baysan jose,0.31034482758620685,0.27586206896551724,0.31763122476446853,2021qq3
0.25,q4,south baysan jose,0.08620689655172413,0.36206896551724144,0.3633916554508747,2021qq4
0.5,q1,south baysan jose,0.43103448275862066,0.20689655172413796,0.3660834454912523,2022qq1
0.5,q2,south baysan jose,0.4655172413793102,0.48275862068965525,0.4833685829648151,2022qq2
0.5,q3,south baysan jose,0.5517241379310345,0.5000000000000001,0.5153361195721471,2022qq3
0.5,q4,south baysan jose,0.12068965517241377,0.6206896551724138,0.5296096904441452,2022qq4
0.75,q1,south baysan jose,0.4999999999999999,0.2241379310344828,0.5639300134589508,2023qq1
0.75,q2,south baysan jose,0.5344827586206896,0.5517241379310346,0.5706594885598913,2023qq2
0.75,q3,south baysan jose,0.5517241379310345,0.3965517241379311,0.5706594885598913,2023qq3
0.75,q4,south baysan jose,0.17241379310344823,0.6206896551724138,0.5854643337819649,2023qq4
1.0,q1,south baysan jose,0.6034482758620688,0.29310344827586204,0.6406460296096894,2024qq1
1.0,q2,south baysan jose,0.5517241379310345,0.5862068965517242,0.5868102288021538,2024qq2
1.0,q3,south baysan jose,0.586206896551724,0.5000000000000001,0.6056527590847903,2024qq3
0.0,q2,washington dc,0.15517241379310345,0.17241379310344826,0.15881561238223396,2020qq2
0.0,q3,washington dc,0.24137931034482757,0.2241379310344828,0.25216304556815916,2020qq3
0.0,q4,washington dc,0.10344827586206898,0.29310344827586204,0.2611036339165552,2020qq4
0.25,q1,washington dc,0.22413793103448273,0.18965517241379312,0.2449528936742928,2021qq1
0.25,q2,washington dc,0.3275862068965517,0.2586206896551725,0.325706594885598,2021qq2
0.25,q3,washington dc,0.39655172413793094,0.3448275862068966,0.4037685060565273,2021qq3
0.25,q4,washington dc,0.10344827586206898,0.4655172413793104,0.4535666218035,2021qq4
0.5,q1,washington dc,0.5172413793103448,0.15517241379310348,0.4427994616419911,2022qq1
0.5,q2,washington dc,0.5517241379310345,0.5689655172413793,0.5858488752163041,2022qq2
0.5,q3,washington dc,0.6206896551724137,0.6034482758620691,0.6028192958843946,2022qq3
0.5,q4,washington dc,0.17241379310344823,0.6724137931034484,0.6302153432032299,2022qq4
0.75,q1,washington dc,0.6551724137931034,0.4310344827586207,0.6864064602960974,2023qq1
0.75,q2,washington dc,0.6551724137931034,0.6551724137931035,0.702557200538358,2023qq2
0.75,q3,washington dc,0.6724137931034481,0.5000000000000001,0.6662180349932703,2023qq3
0.75,q4,washington dc,0.22413793103448273,0.7241379310344828,0.6783310901749662,2023qq4
1.0,q1,washington dc,0.6551724137931034,0.4482758620689656,0.7227456258411835,2024qq1
1.0,q2,washington dc,0.6724137931034481,0.6724137931034484,0.7456258411843866,2024qq2
1.0,q3,washington dc,0.6896551724137929,0.6379310344827587,0.6850605652759085,2024qq3
